nom_commune;latitude;longitude
Trucy;49.466667;3.616667
Urcel;49.5;3.55
Variscourt;49.416667;3.983333
Vassogne;49.416667;3.733333
Vaucelles-et-Beffecourt;49.533333;3.55
Vauxaillon;49.483333;3.4
Vendresse-Beaulne;49.433333;3.666667
Verneuil-sur-Serre;49.65;3.666667
Versigny;49.65;3.433333
Veslud;49.533333;3.733333
Vigneux-Hocquet;49.733333;3.983333
Vincy-Reuil-et-Magny;49.716667;4.05
Vivaise;49.616667;3.566667
Vorges;49.516667;3.65
Wissignicourt;49.533333;3.433333
Afa;41.983333;8.8
Ajaccio;41.916667;8.733333
Alata;41.95;8.75
Ambiegna;42.083333;8.783333
Appietto;42;8.766667
Arbori;42.133333;8.8
Arro;42.083333;8.816667
Azzana;42.116667;8.916667
Balogna;42.166667;8.783333
Bastelicaccia;;
Bocognano;42.083333;9.066667
Calcatoggio;42.016667;8.766667
Cannelle;42.05;8.833333
Carbuccia;42.033333;8.95
Cargèse;42.133333;8.583333
Casaglione;42.066667;8.783333
Coggia;42.116667;8.75
Cristinacce;42.233333;8.833333
Cuttoli-Corticchiato;;
Evisa;42.25;8.8
Guagno;42.166667;8.933333
Letia;42.183333;8.833333
Lopigna;42.1;8.833333
Marignana;42.216667;8.8
Murzo;42.166667;8.833333
Orto;42.183333;8.933333
Osani;42.316667;8.633333
Ota;42.266667;8.75
Partinello;42.3;8.683333
Pastricciola;;
Peri;42;8.916667
Piana;42.5;9.116667
Poggiolo;42.166667;8.916667
Renno;42.216667;8.833333
Rezza;42.116667;8.95
Rosazia;42.116667;8.866667
Salice;42.116667;8.9
Sant'Andréa-d'Orcino;42.033333;8.8
Sari-d'Orcino;42.05;8.816667
Sarrola-Carcopino;42.016667;8.85
Serriera;42.3;8.716667
Soccia;42.2;8.9
Tavaco;42.033333;8.9
Tavera;42.066667;9.016667
Ucciani;42.033333;8.983333
Valle-di-Mezzana;42.016667;8.816667
Vero;42.05;8.916667
Vico;42.166667;8.8
Villanova;41.95;8.666667
Barbaggio;;
Barrettali;;
Bastia;42.7;9.45
Biguglia;42.616667;9.416667
Borgo;42.4;9.283333
Brando;42.766667;9.45
Cagnano;;
Canari;42.85;9.35
Centuri;42.95;9.35
Ersa;;
Farinole;;
Furiani;42.65;9.416667
Lama;42.566667;9.166667
Lucciana;42.533333;9.416667
Luri;;
Meria;42.933333;9.433333
Morsiglia;;
Murato;;
Nonza;42.783333;9.333333
Ogliastro;42.816667;9.333333
Olcani;;
Oletta;42.633333;9.35
Olmeta-di-Capocorso;;
Olmeta-di-Tuda;42.6;9.35
Patrimonio;;
Pietracorbara;;
Pietralba;42.533333;9.183333
Piève;42.566667;9.283333
Pino;42.9;9.35
Poggio-d'Oletta;42.633333;9.35
Rapale;42.583333;9.3
Rogliano;;
Rutali;42.583333;9.35
Saint-Florent;42.683333;9.3
San-Gavino-di-Tenda;42.583333;9.266667
San-Martino-di-Lota;42.716667;9.416667
Santa-Maria-di-Lota;42.75;9.433333
Santo-Pietro-di-Tenda;42.6;9.25
Sisco;42.8;9.433333
Sorio;42.583333;9.266667
Tomino;;
Urtaca;42.6;9.166667
Vallecalle;42.583333;9.333333
Vignale;;
Ville-di-Pietrabugno;;
Alaincourt;49.75;3.366667
Annois;49.716667;3.166667
Artemps;49.766667;3.183333
Attilly;49.85;3.166667
Aubencheul-aux-Bois;50.033333;3.266667
Aubigny-aux-Kaisnes;49.783333;3.116667
Beaurevoir;50;3.3
